target_fid,target_master,signature,editor_id,record_name,change_summary,diff_pattern_key,ooo_touch_reason,target_record_in_current_ooo,recommend
3D008814,Oscuro's_Oblivion_Overhaul.esp,GMST,fPowerAttackDelay,fPowerAttackDelay [GMST:56008814],"""Record Header+""",GMST|Record Header:+;,owns_record,present,review
3D008816,Oscuro's_Oblivion_Overhaul.esp,GMST,iArrowMaxRefCount,iArrowMaxRefCount [GMST:56008816],"""Record Header+""",GMST|Record Header:+;,owns_record,present,review
3D00881B,Oscuro's_Oblivion_Overhaul.esp,GMST,fCreatureCalcDamage,fCreatureCalcDamage [GMST:5600881B],"""Record Header+""",GMST|Record Header:+;,owns_record,present,review
3D00881E,Oscuro's_Oblivion_Overhaul.esp,GMST,iAINumberActorsComplexScene,iAINumberActorsComplexScene [GMST:5600881E],"""Record Header+""",GMST|Record Header:+;,owns_record,present,review
04005B7F,Oscuro's_Oblivion_Overhaul.esm,GLOB,LapNoCombatLock,LapNoCombatLock [GLOB:05005B7F],"""Record Header+"",FLTV",GLOB|Record Header:+;FLTV:1.000000->0.000000;,owns_record,present,review
040303DD,Oscuro's_Oblivion_Overhaul.esm,CLAS,AmazonMelee,"AmazonMelee ""Briarborn Thorn Warden"" [CLAS:050303DD]","""Record Header+"",FULL",CLAS|Record Header:+;FULL:Amazon Man-Eater->Briarborn Thorn Warden;,owns_record,present,review
040303DE,Oscuro's_Oblivion_Overhaul.esm,CLAS,AmazonMissile,"AmazonMissile ""Briarborn Hunter"" [CLAS:050303DE]","""Record Header+"",FULL",CLAS|Record Header:+;FULL:Amazon Man-Hunter->Briarborn Hunter;,owns_record,present,review
040303DF,Oscuro's_Oblivion_Overhaul.esm,CLAS,AmazonPriestess,"AmazonPriestess ""Briarborn Hedge Witch"" [CLAS:050303DF]","""Record Header+"",FULL",CLAS|Record Header:+;FULL:Amazon Raging Priestess->Briarborn Hedge Witch;,owns_record,present,review
000177E3,Oblivion.esm,FACT,BanditFaction,"BanditFaction ""Bandit Faction"" [FACT:000177E3]","""Record Header+"",Ranks+",FACT|Record Header:+;Ranks:+;,references_ooo,present,merge
000223BC,Oblivion.esm,FACT,NineDivines,"NineDivines ""Nine Divines"" [FACT:000223BC]","""Record Header+"",Ranks+",FACT|Record Header:+;Ranks:+;,references_ooo,present,merge
00033F53,Oblivion.esm,FACT,VampireFaction,"VampireFaction ""Vampire Faction"" [FACT:00033F53]","""Record Header+"",Ranks+",FACT|Record Header:+;Ranks:+;,references_ooo,present,merge
00035EA9,Oblivion.esm,FACT,BrumaFaction,"BrumaFaction ""Bruma Citizens"" [FACT:00035EA9]","""Record Header+""",FACT|Record Header:+;,references_ooo,present,merge
00035FD1,Oblivion.esm,FACT,MarauderFaction,"MarauderFaction ""Marauder Faction"" [FACT:00035FD1]","""Record Header+"",DATA,Ranks+",FACT|Record Header:+;DATA:01->11;Ranks:+;,references_ooo,present,merge
0003B3F6,Oblivion.esm,FACT,KvatchFaction,"KvatchFaction ""Kvatch citizens"" [FACT:0003B3F6]","""Record Header+"",XNAM+,Ranks+",FACT|Record Header:+;XNAM:+;Ranks:+;,references_ooo,present,merge
0003E9A6,Oblivion.esm,FACT,DremoraFaction,"DremoraFaction ""Kyn"" [FACT:0003E9A6]","""Record Header+"",Ranks+",FACT|Record Header:+;Ranks:+;,references_ooo,present,merge
00053FED,Oblivion.esm,FACT,DaedraFaction,"DaedraFaction ""Oblivion gate daedra"" [FACT:00053FED]","""Record Header+""",FACT|Record Header:+;,references_ooo,present,merge
0400491B,Oscuro's_Oblivion_Overhaul.esm,FACT,AmazonFaction,"AmazonFaction ""Briarborn"" [FACT:0500491B]","""Record Header+"",FULL,Ranks+",FACT|Record Header:+;FULL:Amazons->Briarborn;Ranks:+;,owns_record,present,merge
04004E16,Oscuro's_Oblivion_Overhaul.esm,FACT,ValenBosmer,"ValenBosmer ""ValenWood Bosmer"" [FACT:05004E16]","""Record Header+"",Ranks+",FACT|Record Header:+;Ranks:+;,owns_record,present,merge
0400CDA0,Oscuro's_Oblivion_Overhaul.esm,FACT,ZOOOMinotaurs,"ZOOOMinotaurs ""King Minos Faction"" [FACT:0500CDA0]","""Record Header+""",FACT|Record Header:+;,owns_record,present,merge
00094008,Oblivion.esm,MGEF,BW08,"BW08 ""Bound Priest Dagger"" [MGEF:00094008]","""Record Header+""",MGEF|Record Header:+;,references_ooo,present,review
00014F02,Oblivion.esm,SCPT,ElvenStatueScript,ElvenStatueScript [SCPT:00014F02],"""Record Header+"",SCDA,SCTX,""Local Variables+""","SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 46->1D 00 00 00 10 00 06 00 15 00 73;SCTX:ScriptName ElvenStatueScript

->ScriptName ElvenStatueScript

Sh;Local Variables:+;",references_ooo,present,review
00076975,Oblivion.esm,SCPT,SE32TombEpitaph01SCRIPT,SE32TombEpitaph01SCRIPT [SCPT:00076975],"""Record Header+"",SCDA,SCTX,""Local Variables+""","SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 02 00 5D->1D 00 00 00 10 00 0B 00 02 00 9E;SCTX:scn SE32TombEpitaph01SCRIPT
;Al->scn SE32TombEpitaph01SCRIPT
;All;Local Variables:+;",references_ooo,present,review
000AEE99,Oblivion.esm,SCPT,SE11bStandingStoneScript,SE11bStandingStoneScript [SCPT:000AEE99],"""Record Header+"",SCDA,SCTX,""Local Variables+""","SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 11->1D 00 00 00 10 00 06 00 15 00 11;SCTX:scn SE11bStandingStoneScript

->scn SE11bStandingStoneScript

; ;Local Variables:+;",references_ooo,present,review
040015CC,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyDiamondPerfectRemove,GeomancyDiamondPerfectRemove [SCPT:050015CC],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400161A,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyEmeraldPerfectRemove,GeomancyEmeraldPerfectRemove [SCPT:0500161A],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400161C,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPearlPerfectRemove,GeomancyPearlPerfectRemove [SCPT:0500161C],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400161E,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyRubyPerfectRemove,GeomancyRubyPerfectRemove [SCPT:0500161E],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001620,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySapphirePerfectRemove,GeomancySapphirePerfectRemove [SCPT:05001620],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001622,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTopazPerfectRemove,GeomancyTopazPerfectRemove [SCPT:05001622],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001625,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPearlBlackRemove,GeomancyPearlBlackRemove [SCPT:05001625],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400162F,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyOpalFlawedRemove,GeomancyOpalFlawedRemove [SCPT:0500162F],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001631,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyOpalNormalRemove,GeomancyOpalNormalRemove [SCPT:05001631],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001632,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyOpalFlawlessRemove,GeomancyOpalFlawlessRemove [SCPT:05001632],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001633,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyOpalPerfectRemove,GeomancyOpalPerfectRemove [SCPT:05001633],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400163C,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyAmethystFlawedRemove,GeomancyAmethystFlawedRemove [SCPT:0500163C],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400163D,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyAmethystFlawlessRemove,GeomancyAmethystFlawlessRemove [SCPT:0500163D],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400163E,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyAmethystNormalRemove,GeomancyAmethystNormalRemove [SCPT:0500163E],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400163F,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyAmethystPerfectRemove,GeomancyAmethystPerfectRemove [SCPT:0500163F],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E58,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGoldRemoveNugget,GeomancyGoldRemoveNugget [SCPT:05001E58],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E5A,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGoldRemoveNuggetLarge,GeomancyGoldRemoveNuggetLarge [SCPT:05001E5A],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E5B,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGoldRemoveNuggetSmall,GeomancyGoldRemoveNuggetSmall [SCPT:05001E5B],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E5C,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyCopperRemove,GeomancyCopperRemove [SCPT:05001E5C],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E5D,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyCopperRemoveNugget,GeomancyCopperRemoveNugget [SCPT:05001E5D],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E5E,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyCopperRemoveNuggetSmall,GeomancyCopperRemoveNuggetSmall [SCPT:05001E5E],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E5F,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyCopperRemoveNuggetLarge,GeomancyCopperRemoveNuggetLarge [SCPT:05001E5F],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E60,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPlatinumRemove,GeomancyPlatinumRemove [SCPT:05001E60],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E61,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPlatinumRemoveNugget,GeomancyPlatinumRemoveNugget [SCPT:05001E61],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E62,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPlatinumRemoveNuggetSmall,GeomancyPlatinumRemoveNuggetSmall [SCPT:05001E62],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E63,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPlatinumRemoveNuggetLarge,GeomancyPlatinumRemoveNuggetLarge [SCPT:05001E63],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E64,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySilverRemoveNugget,GeomancySilverRemoveNugget [SCPT:05001E64],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E65,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySilverRemoveNuggetSmall,GeomancySilverRemoveNuggetSmall [SCPT:05001E65],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04001E66,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySilverRemoveNuggetLarge,GeomancySilverRemoveNuggetLarge [SCPT:05001E66],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004340,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyGoldRemove,GeomancyGoldRemove [SCPT:05004340],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004341,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySilverRemove,GeomancySilverRemove [SCPT:05004341],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004342,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyPearlFlawlessRemove,GeomancyPearlFlawlessRemove [SCPT:05004342],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400434F,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyDiamondFlawedRemove,GeomancyDiamondFlawedRemove [SCPT:0500434F],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004350,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyDiamondNormalRemove,GeomancyDiamondNormalRemove [SCPT:05004350],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004351,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyDiamondFlawlessRemove,GeomancyDiamondFlawlessRemove [SCPT:05004351],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004352,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyEmeraldFlawedRemove,GeomancyEmeraldFlawedRemove [SCPT:05004352],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004353,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyEmeraldFlawlessRemove,GeomancyEmeraldFlawlessRemove [SCPT:05004353],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004354,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyEmeraldNormalRemove,GeomancyEmeraldNormalRemove [SCPT:05004354],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004355,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyRubyFlawedRemove,GeomancyRubyFlawedRemove [SCPT:05004355],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004356,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyRubyFlawlessRemove,GeomancyRubyFlawlessRemove [SCPT:05004356],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004357,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyRubyNormalRemove,GeomancyRubyNormalRemove [SCPT:05004357],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004358,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySapphireFlawedRemove,GeomancySapphireFlawedRemove [SCPT:05004358],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
04004359,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySapphireFlawlessRemove,GeomancySapphireFlawlessRemove [SCPT:05004359],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400435A,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancySapphireNormalRemove,GeomancySapphireNormalRemove [SCPT:0500435A],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400435B,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTopazFlawedRemove,GeomancyTopazFlawedRemove [SCPT:0500435B],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400435C,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTopazFlawlessRemove,GeomancyTopazFlawlessRemove [SCPT:0500435C],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
0400435D,Oscuro's_Oblivion_Overhaul.esm,SCPT,GeomancyTopazNormalRemove,GeomancyTopazNormalRemove [SCPT:0500435D],"""Record Header+"",SCDA",SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,owns_record,present,review
