diff_pattern_key,count,sample_target_fid,sample_target_master,sample_signature,sample_change_summary
GMST|Record Header:+;,4,3D008814|Oscuro's_Oblivion_Overhaul.esp|GMST|"""Record Header+"""
GLOB|Record Header:+;FLTV:1.000000->0.000000;,1,04005B7F|Oscuro's_Oblivion_Overhaul.esm|GLOB|"""Record Header+"",FLTV"
CLAS|Record Header:+;FULL:Amazon Man-Eater->Briarborn Thorn Warden;,1,040303DD|Oscuro's_Oblivion_Overhaul.esm|CLAS|"""Record Header+"",FULL"
CLAS|Record Header:+;FULL:Amazon Man-Hunter->Briarborn Hunter;,1,040303DE|Oscuro's_Oblivion_Overhaul.esm|CLAS|"""Record Header+"",FULL"
CLAS|Record Header:+;FULL:Amazon Raging Priestess->Briarborn Hedge Witch;,1,040303DF|Oscuro's_Oblivion_Overhaul.esm|CLAS|"""Record Header+"",FULL"
FACT|Record Header:+;Ranks:+;,5,000177E3|Oblivion.esm|FACT|"""Record Header+"",Ranks+"
FACT|Record Header:+;,3,00035EA9|Oblivion.esm|FACT|"""Record Header+"""
FACT|Record Header:+;DATA:01->11;Ranks:+;,1,00035FD1|Oblivion.esm|FACT|"""Record Header+"",DATA,Ranks+"
FACT|Record Header:+;XNAM:+;Ranks:+;,1,0003B3F6|Oblivion.esm|FACT|"""Record Header+"",XNAM+,Ranks+"
FACT|Record Header:+;FULL:Amazons->Briarborn;Ranks:+;,1,0400491B|Oscuro's_Oblivion_Overhaul.esm|FACT|"""Record Header+"",FULL,Ranks+"
MGEF|Record Header:+;,1,00094008|Oblivion.esm|MGEF|"""Record Header+"""
"SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 46->1D 00 00 00 10 00 06 00 15 00 73;SCTX:ScriptName ElvenStatueScript

->ScriptName ElvenStatueScript

Sh;Local Variables:+;",1,00014F02|Oblivion.esm|SCPT|"""Record Header+"",SCDA,SCTX,""Local Variables+"""
"SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 02 00 5D->1D 00 00 00 10 00 0B 00 02 00 9E;SCTX:scn SE32TombEpitaph01SCRIPT
;Al->scn SE32TombEpitaph01SCRIPT
;All;Local Variables:+;",1,00076975|Oblivion.esm|SCPT|"""Record Header+"",SCDA,SCTX,""Local Variables+"""
"SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 11->1D 00 00 00 10 00 06 00 15 00 11;SCTX:scn SE11bStandingStoneScript

->scn SE11bStandingStoneScript

; ;Local Variables:+;",1,000AEE99|Oblivion.esm|SCPT|"""Record Header+"",SCDA,SCTX,""Local Variables+"""
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 11 00 42->;,61,040015CC|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
"SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 08 00 08 00 65->;SCTX:scn ANPCFleeScriptBandit

; Crea->scn ANPCFleeScriptBandit

; Crea;",1,04004E20|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA,SCTX"
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 00 00 89->;,1,0400618C|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
SCPT|Record Header:+;SCDA:1D 00 00 00->;,1,0400618E|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
"SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 2E->;SCTX:scn	DieYouDamnVanillaGuarDie

; ->;",1,04024407|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA,SCTX"
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 0B 00 03 00 21->;,61,0402B75A|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
"SCPT|Record Header:+;SCDA:1D 00 00 00->1D 00 00 00 10 00 0B 00 19 00 1D;SCTX:scn	BossBuffScriptVolmyr

; Crea->scn	BossBuffScriptVolmyr

; Crea;Local Variables:+;",1,04030F3F|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA,SCTX,""Local Variables+"""
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 08 00 08 00 65->;,1,040431C6|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 08 00 02 00 F3->;,1,0405131A|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 00 00 20->;,1,0405C126|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
SCPT|Record Header:+;SCDA:1D 00 00 00 10 00 06 00 15 00 64->;,1,0406E9EB|Oscuro's_Oblivion_Overhaul.esm|SCPT|"""Record Header+"",SCDA"
ENCH|Record Header:+;Effects:+;,2,04002F51|Oscuro's_Oblivion_Overhaul.esm|ENCH|"""Record Header+"",Effects+"
