decision_type,decision_key,signature,count,sample_fid,sample_master,sample_summary,decision,notes
pattern,REFR|Cell:+;Record Header:+;XESP:+;,REFR,456,3D03CAD3,Oscuro's_Oblivion_Overhaul.esp,"Cell+,""Record Header+"",XESP+",keep,
pattern,CONT|Record Header:+;,CONT,444,00002901,Oblivion.esm,"""Record Header+""",drop,
pattern,LVLI|Record Header:+;,LVLI,216,00032D55,Oblivion.esm,"""Record Header+""",drop,
pattern,CLOT|Record Header:+;ENAM:+;,CLOT,140,04000D62,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",ENAM+",keep,
pattern,NPC_|Record Header:+;,NPC_,129,000092A8,Oblivion.esm,"""Record Header+""",drop,
pattern,"NPC_|Record Header:+;FULL:Conjurer->Mythic Dawn Acolyte;CNAM:Conjurer ""Conjurer"" [CLAS:0004B9->MythicDawnAgent ""Mythic Dawn Age;",NPC_,74,04003F10,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM",keep,
pattern,SPEL|Record Header:+;Effects:+;,SPEL,68,0400312C,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",Effects+",keep,
pattern,CREA|Record Header:+;Sound Types:+;,CREA,64,04007FB9,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",""Sound Types+""",keep,
pattern,NPC_|Record Header:+;FNAM:26 46->C5 16;,NPC_,64,76072CB8,OOOShiveringIsles.esp,"""Record Header+"",FNAM",keep,
pattern,NPC_|Record Header:+;FNAM:DF 55->29 04;,NPC_,61,7607632E,OOOShiveringIsles.esp,"""Record Header+"",FNAM",keep,
pattern,REFR|Cell:+;Record Header:+;,REFR,52,3D010A01,Oscuro's_Oblivion_Overhaul.esp,"Cell+,""Record Header+""",keep,
pattern,"NPC_|Record Header:+;FULL:Conjurer->Mythic Dawn Acolyte;SNAM:+;CNTO:+;CNAM:Conjurer ""Conjurer"" [CLAS:0004B9->MythicDawnAgent ""Mythic Dawn Age;",NPC_,40,A4241870,Maskar's Oblivion Overhaul.esp,"""Record Header+"",FULL,SNAM+,CNTO+,CNAM",keep,
pattern,NPC_|Record Header:+;FULL:Master Conjurer->Dagonite Harbinger;,NPC_,28,A43FC2A4,Maskar's Oblivion Overhaul.esp,"""Record Header+"",FULL",keep,
pattern,CONT|Record Header:+;SCRI:+;,CONT,27,000244C7,Oblivion.esm,"""Record Header+"",SCRI+",keep,
pattern,LVLC|Record Header:+;,LVLC,27,0000509C,Oblivion.esm,"""Record Header+""",drop,
pattern,NPC_|Record Header:+;FULL:Conjurer Adept->Mythic Dawn Ritualist;,NPC_,27,A403C557,Maskar's Oblivion Overhaul.esp,"""Record Header+"",FULL",keep,
pattern,NPC_|Record Header:+;SPLO:+;ZNAM:+;,NPC_,22,0000A08E,Oblivion.esm,"""Record Header+"",SPLO+,ZNAM+",keep,
pattern,CREA|Record Header:+;,CREA,21,0001FCB3,Oblivion.esm,"""Record Header+""",drop,
pattern,NPC_|Record Header:+;SPLO:+;,NPC_,20,000034AF,Oblivion.esm,"""Record Header+"",SPLO+",keep,
pattern,NPC_|Record Header:+;ZNAM:+;,NPC_,15,000034C7,Oblivion.esm,"""Record Header+"",ZNAM+",keep,
pattern,ACHR|Cell:+;Record Header:+;XESP:+;,ACHR,14,3D010842,Oscuro's_Oblivion_Overhaul.esp,"Cell+,""Record Header+"",XESP+",keep,
pattern,LIGH|Record Header:+;,LIGH,14,04048F5D,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+""",drop,
pattern,CREA|Record Header:+;FULL:Shadow Wolf->Dire Wolf;SPLO:+;,CREA,13,04003295,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,SPLO+",keep,
pattern,NPC_|Record Header:+;SPLO:+;SCRI:+;ZNAM:+;,NPC_,11,000234A9,Oblivion.esm,"""Record Header+"",SPLO+,SCRI+,ZNAM+",keep,
pattern,NPC_|Record Header:+;ENAM:+;,NPC_,11,000234AE,Oblivion.esm,"""Record Header+"",ENAM+",keep,
pattern,NPC_|Record Header:+;SPLO:+;LNAM:0.000000->0.001000;,NPC_,9,00002E95,Oblivion.esm,"""Record Header+"",SPLO+,LNAM",keep,
pattern,"NPC_|Record Header:+;SPLO:+;SCRI:+;CNAM:Guard ""Guard"" [CLAS:00034E6E]->aatGuardBravil ""Bravil Guard"" [C;ZNAM:+;",NPC_,9,0000A0B0,Oblivion.esm,"""Record Header+"",SPLO+,SCRI+,CNAM,ZNAM+",keep,
pattern,NPC_|Record Header:+;FULL:Spectral Reaver->Spectral Champion;,NPC_,9,04003635,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Raging Priestess->Briarborn Hedge Witch;CNAM:AmazonPriestess ""Amazon Raging P->AmazonPriestess ""Briarborn Hedge;",NPC_,9,040109AE,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM",keep,
pattern,LVLI|Record Header:+;LVLF:01->11;,LVLI,8,0400D1F0,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",LVLF",keep,
pattern,"NPC_|Record Header:+;CNAM:Battlemage ""Battlemage"" [CLAS:00->Battlemage ""Sorceror"" [CLAS:0002;",NPC_,8,00002E94,Oblivion.esm,"""Record Header+"",CNAM",keep,
pattern,"NPC_|Record Header:+;FULL:Conjurer->Mythic Dawn Acolyte;CNAM:Conjurer ""Conjurer"" [CLAS:0004B9->MythicDawnAgent ""Mythic Dawn Age;ENAM:+;",NPC_,8,A403C55C,Maskar's Oblivion Overhaul.esp,"""Record Header+"",FULL,CNAM,ENAM+",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL2MythicNatureLairDry100 [LVLC:->LL0Boar100 [LVLC:05008F64];,REFR,8,0000CD7D,Oblivion.esm,"Cell+,""Record Header+"",NAME",keep,
pattern,NPC_|Record Header:+;SPLO:+;ENAM:+;,NPC_,7,000034CA,Oblivion.esm,"""Record Header+"",SPLO+,ENAM+",keep,
pattern,CLOT|Record Header:+;SCRI:+;,CLOT,6,0006EA54,Oblivion.esm,"""Record Header+"",SCRI+",keep,
pattern,CLOT|Record Header:+;SCRI:+;Female:+;,CLOT,6,00097600,Oblivion.esm,"""Record Header+"",SCRI+,Female+",keep,
pattern,CREA|Record Header:+;FULL:Gold Golem->Gold Atronach;Sound Types:+;,CREA,6,04002262,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,""Sound Types+""",keep,
pattern,NPC_|Record Header:+;LNAM:0.000000->0.001000;,NPC_,6,00002E97,Oblivion.esm,"""Record Header+"",LNAM",keep,
pattern,NPC_|Record Header:+;SCRI:+;,NPC_,6,0000A108,Oblivion.esm,"""Record Header+"",SCRI+",keep,
pattern,"NPC_|Record Header:+;FULL:Amazon Man-Eater->Briarborn Tracker;CNAM:AmazonMelee ""Amazon Man-Eater"" [->AmazonMelee ""Briarborn Thorn War;",NPC_,6,04003A0F,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL,CNAM",keep,
pattern,NPC_|Record Header:+;FULL:Master Conjurer->Dagonite Harbinger;ENAM:+;,NPC_,6,A43FE58A,Maskar's Oblivion Overhaul.esp,"""Record Header+"",FULL,ENAM+",keep,
pattern,FACT|Record Header:+;Ranks:+;,FACT,5,000177E3,Oblivion.esm,"""Record Header+"",Ranks+",keep,
pattern,NPC_|Record Header:+;ZNAM:+;FNAM:45 7F->48 1D;,NPC_,5,000038B3,Oblivion.esm,"""Record Header+"",ZNAM+,FNAM",keep,
pattern,NPC_|Record Header:+;FULL:Ghostly Warrior->Spectral Soldier;,NPC_,5,0400312E,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL",keep,
pattern,NPC_|Record Header:+;FULL:Conjurer Adept->Mythic Dawn Ritualist;ENAM:+;,NPC_,5,A403C556,Maskar's Oblivion Overhaul.esp,"""Record Header+"",FULL,ENAM+",keep,
pattern,ACRE|Cell:+;Record Header:+;XESP:+;,ACRE,4,3D01084C,Oscuro's_Oblivion_Overhaul.esp,"Cell+,""Record Header+"",XESP+",keep,
pattern,CLOT|Record Header:+;,CLOT,4,04005B71,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+""",drop,
pattern,CREA|Record Header:+;FULL:Hell Hound->Kynhound;,CREA,4,04003293,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",FULL",keep,
pattern,CREA|Record Header:+;RNAM:50->16;BNAM:0.500000->0.550000;WNAM:4.000000->6.000000;,CREA,4,A400F062,Maskar's Oblivion Overhaul.esp,"""Record Header+"",RNAM,BNAM,WNAM",keep,
pattern,CREA|Record Header:+;ZNAM:DefaultClannfear [CSTY:00035E92]->DefaultGuar [CSTY:0502EADF];Sound Types:+;,CREA,4,A4099092,Maskar's Oblivion Overhaul.esp,"""Record Header+"",ZNAM,""Sound Types+""",keep,
pattern,GMST|Record Header:+;,GMST,4,3D008814,Oscuro's_Oblivion_Overhaul.esp,"""Record Header+""",drop,
pattern,NPC_|Record Header:+;SPLO:+;ENAM:+;ZNAM:+;,NPC_,4,000293D5,Oblivion.esm,"""Record Header+"",SPLO+,ENAM+,ZNAM+",keep,
pattern,NPC_|Record Header:+;SCRI:+;ENAM:+;ZNAM:+;FNAM:45 7F->48 1D;,NPC_,4,000947AC,Oblivion.esm,"""Record Header+"",SCRI+,ENAM+,ZNAM+,FNAM",keep,
pattern,"NPC_|Record Header:+;CNAM:BanditMelee ""Bandit"" [CLAS:00034->ArenaCombatantLightArcher ""Arena;",NPC_,4,04001116,Oscuro's_Oblivion_Overhaul.esm,"""Record Header+"",CNAM",keep,
pattern,REFR|Cell:+;Record Header:+;NAME:LL1Necromancer100 [LVLC:00034092->LL1PutridNecro100 [LVLC:05024384;XESP:+;,REFR,4,0004C552,Oblivion.esm,"Cell+,""Record Header+"",NAME,XESP+",keep,
pattern,REFR|Cell:+;Record Header:+;EDID:+;NAME:LL0NuissanceBeast100 [LVLC:00034->LL2RaiderLair100 [LVLC:05024378];XESP:+;,REFR,4,00083681,Oblivion.esm,"Cell+,""Record Header+"",EDID+,NAME,XESP+",keep,
pattern,REFR|Cell:+;Record Header:+;EDID:+;,REFR,4,3D011327,Oscuro's_Oblivion_Overhaul.esp,"Cell+,""Record Header+"",EDID+",keep,
pattern,CREA|Record Header:+;SCRI:+;RNAM:60->70;,CREA,3,00025E4C,Oblivion.esm,"""Record Header+"",SCRI+,RNAM",keep,
pattern,CREA|Record Header:+;SCRI:+;,CREA,3,00088FA6,Oblivion.esm,"""Record Header+"",SCRI+",keep,
pattern,CREA|Record Header:+;RNAM:50->16;BNAM:0.500000->0.600000;WNAM:4.000000->6.000000;,CREA,3,A400F05F,Maskar's Oblivion Overhaul.esp,"""Record Header+"",RNAM,BNAM,WNAM",keep,
pattern,CREA|Record Header:+;BNAM:1.300000->1.800000;WNAM:3.000000->20.000000;,CREA,3,A4015000,Maskar's Oblivion Overhaul.esp,"""Record Header+"",BNAM,WNAM",keep,
pattern,"CREA|Record Header:+;RNAM:50->16;BNAM:1.000000->0.550000;WNAM:5.000000->6.000000;CSCR:MOOSpider01 ""Giant Spider"" [CREA->TestCreatureSpiderDaedra [CREA:0;",CREA,3,A41A6CB4,Maskar's Oblivion Overhaul.esp,"""Record Header+"",RNAM,BNAM,WNAM,CSCR",keep,
pattern,FACT|Record Header:+;,FACT,3,00035EA9,Oblivion.esm,"""Record Header+""",drop,
pattern,INFO|Topic:+;Record Header:+;PNAM:+;Responses:+;,INFO,3,00072DFE,Oblivion.esm,"Topic+,""Record Header+"",PNAM+,Responses+",keep,
