Vtable at 00a36e5c (32 slots):
  idx  slot-addr     ptr         function/symbol
  [ 0] 00a36e5c  0x00439BD0  FUN_00439bd0
  [ 1] 00a36e60  0x0060D0A0  FUN_0060d0a0
  [ 2] 00a36e64  0x0060D0A0  FUN_0060d0a0
  [ 3] 00a36e68  0x00439B90  ModelLoader_CancelPending_helper
  [ 4] 00a36e6c  0x006FE080  FUN_006fe080
  [ 5] 00a36e70  0x004BDDA0  FUN_004bdda0
  [ 6] 00a36e74  0x004365F0  FUN_004365f0
  [ 7] 00a36e78  0x00434C60  FUN_00434c60
  [ 8] 00a36e7c  0x004354A0  FUN_004354a0
  [ 9] 00a36e80  0x00436E70  FUN_00436e70
  [10] 00a36e84  0x0043CAE0  FUN_0043cae0
  [11] 00a36e88  0x0043DE00  FUN_0043de00
  [12] 00a36e8c  0x00437D40  LAB_00437d40
  [13] 00a36e90  0x0043AE10  FUN_0043ae10
  [14] 00a36e94  0x0043B090  FUN_0043b090
  [15] 00a36e98  0x00AB713C  DAT_00ab713c
  [16] 00a36e9c  0x004348A0  LAB_004348a0
  [17] 00a36ea0  0x00439CA0  FUN_00439ca0
  [18] 00a36ea4  0x00AB7188  (no symbol)
  [19] 00a36ea8  0x004348A0  LAB_004348a0
  [20] 00a36eac  0x00439CE0  FUN_00439ce0
  [21] 00a36eb0  0x30706942  (no symbol)
  [22] 00a36eb4  0x70532031  (no symbol)
  [23] 00a36eb8  0x00656E69  (no symbol)
  [24] 00a36ebc  0x30706942  (no symbol)
  [25] 00a36ec0  0x70532031  (no symbol)
  [26] 00a36ec4  0x31656E69  (no symbol)
  [27] 00a36ec8  0x00000000  DAT_00000000
  [28] 00a36ecc  0x30706942  (no symbol)
  [29] 00a36ed0  0x70532031  (no symbol)
  [30] 00a36ed4  0x32656E69  (no symbol)
  [31] 00a36ed8  0x00000000  DAT_00000000
